num,subcategories,sid
601,Xeriscaping,24
602,Archery Lessons,25
603,Badminton Lessons,25
604,Baseball Lessons,25
605,Basketball Lessons,25
606,Cheerleading Lessons,25
607,Chess Lessons,25
608,Climbing Lessons,25
609,CPR Training,25
610,Cycling Training,25
611,Fencing Lessons,25
612,First Aid Training,25
613,Fishing Lessons,25
614,Football Coaching,25
615,Golf Lessons,25
616,Gymnastics Classes,25
617,Horse Riding Lessons,25
618,Ice Skating Lessons,25
619,Kayaking Lessons,25
620,Kiteboarding and Kitesurfing Lessons,25
621,Martial Arts Classes,25
622,Massage Training,25
623,Outdoor Skills Instruction,25
624,Paragliding Lessons,25
625,Personal Trainers,25
626,Pilates Classes,25
627,Pool and Billiards Lessons,25
628,Racquetball Lessons,25
629,Running and Jogging Lessons,25
630,Safety and First Aid Instruction,25
631,Sailing Lessons,25
632,Scuba Diving Lessons,25
633,Self Defence Classes,25
634,Skateboarding Lessons,25
635,Skating Lessons,25
636,Skiing Lessons,25
637,Skydiving Instruction,25
638,Softball Lessons,25
639,Surfing Lessons,25
640,Swimming Lessons,25
641,Table Tennis Coaching,25
642,Tai Chi Lessons,25
643,Tennis Lessons,25
644,Triathlon Coaching,25
645,Volleyball Lessons,25
646,Wakeboarding Lessons,25
647,Water Aerobics Lessons,25
648,Waterskiing Lessons,25
649,Yoga Classes,25
650,Zumba Classes,25
651,Architectural Services,26
652,Boundary Surveyor,26
653,Building Inspections,26
654,Cellar & Basement Conversion,26
655,Commercial Building & Structural Surveyor,26
656,Commercial Valuations Surveyor,26
657,Garage Conversions,26
658,General Surveyor,26
659,Home Energy Auditing & Energy Performance Certificates,26
660,Land Surveyor,26
661,Loft Conversions,26
662,Party Wall Surveyor,26
663,Planning Consultancy,26
664,Property Extensions,26
665,Property Inspection & Inventory,26
666,Quantity Surveyor,26
667,Residential Building & Structural Surveyor,26
668,Residential Valuations Surveyor,26
669,Structural Engineer,26
670,Thermal Imaging,26
671,Artists,27
672,CNC Machine Services,27
673,Crocheting,27
674,Custom Gift Baskets,27
675,Custom Jewellery,27
676,Dressmakers,27
677,Electroplating,27
678,Embroidery,27
679,Engraving,27
680,Fine Art Consultation,27
681,Florists,27
682,Illustrators,27
683,Luggage & Bag Makers,27
684,Music Engraving,27
685,Plastic Fabrication,27
686,Portrait Artistry,27
687,Powder Coating,27
688,Quilting,27
689,Scrapbooking,27
690,Songwriting,27
691,Asbestos Removal,28
692,Asphalt Installation,28
693,Awning Installation,28
694,Backhoe Services,28
695,Barbecue Installation,28
696,Bathroom Accessibility Adaptation,28
697,Brick & Block Paving Services,28
698,Brick Wall Construction,28
699,Building Frame Carpentry,28
700,Cellar & Basement Conversion,28
701,Cladding Installation or Replacement,28
702,Cladding Repair & Maintenance,28
703,Concrete Delivery,28
704,Concrete Flooring Installation,28
705,Concrete Installation,28
706,Concrete Levelling,28
707,Concrete Removal,28
708,Concrete Repair & Maintenance,28
709,Concrete Sawing,28
710,Conservatory Installation,28
711,Damp Proofing,28
712,Deck or Porch Construction,28
713,Deck or Porch Maintenance,28
714,Demolition Services,28
715,Disability & Accessibility Home Installation,28
716,Driveway Installation,28
717,Dry Stone Wall Construction,28
718,Drywall & Plasterboard Installation,28
719,Fence & Gate Installation,28
720,Fireplace & Chimney Installation,28
721,Fireplace & Chimney Service & Repair,28
722,Fitted Wardrobe Installation,28
723,Flat Roofing Installation,28
724,Foundation Services,28
725,Garage & Outbuilding Construction,28
726,Garage & Outbuilding Remodel,28
727,Garage & Outbuilding Repairs,28
728,Garage Conversions,28
729,General Bricklaying,28
730,General Builders,28
731,Glass Block Installers,28
732,Greenhouse Construction,28
733,Internal Renovation & Reconfiguration,28
734,Kitchen Installation & Remodelling,28
735,Kitchen Refurbishment,28
736,Labour Contractors,28
737,Loft Conversions,28
738,Metal Staircase Installation or Replacement,28
739,Outdoor Walls & Retaining Wall Construction,28
740,Patio Services,28
741,Pebble Dash Application,28
742,Porch Installation,28
743,Porch Patio & Canopy Installation,28
744,Post Construction Property Cleanup,28
745,Property Extensions,28
746,Repointing,28
747,Retaining Wall Construction,28
748,Roof Repair,28
749,Roofing Installation or Replacement,28
750,Roofing Leadwork,28
751,Sash Window Installation,28
752,Sash Window Maintenance,28
753,Scaffolding Hire,28
754,Septic Tanks & Soakaway Installation,28
755,Septic Tanks & Soakaway Repair & Maintenance,28
756,Site Preparation,28
757,Stairs,28
758,Structural Steel Work,28
759,Velux / Skylight Window Installation,28
760,Waste Management,28
761,Water Damage Cleanup and Restoration,28
762,Weatherproofing,28
763,Window Fitters,28
764,Wooden Staircase Installation or Replacement,28
765,Asbestos Removal,29
766,Bed Bug Extermination,29
767,Blacksmithing,29
768,Brick & Stone Cleaning,29
769,Chimney Cleaning,29
770,Damp Proofing,29
771,Decorative Glazing & Stained Glass,29
772,Demolition Services,29
773,Disability & Accessibility Home Installation,29
774,Disability & Accessibility Planning,29
775,Drain & Sewer Clearing,29
776,Draught Proofing & Window Insulation,29
777,Dry Stone Wall Construction,29
778,Fine Woodworking,29
779,Furniture Restoration,29
780,Mould Inspection & Remediation,29
781,Mould Remediation,29
782,Mural Painting,29
783,Oven Cleaning,29
784,Period Restorations,29
785,Planning Consultancy,29
786,Sash Window Installation,29
787,Sash Window Maintenance,29
788,Sawmilling,29
789,Seismic Retrofitting,29
790,Skip Hire,29
791,Soundproofing,29
792,Specialist Masonry Construction Services,29
793,Specialist Masonry Repair and Maintenance,29
794,Sports Surface Installation,29
795,Sports Surface Maintenance,29
796,Thatched Roof Installation,29
797,Timber Preservation Woodworm & Rot,29
798,Waste Management,29
799,Water Damage Cleanup and Restoration,29
800,Asphalt Installation,30
801,Asphalt Repair & Maintenance,30
802,Awning Installation,30
803,Awning Repair & Maintenance,30
804,Brick & Block Paving Services,30
805,Driveway Cleaning,30
806,Driveway Installation,30
807,Driveway Maintenance,30
808,Gazebo Installation,30
809,Gazebo Repair and Maintenance,30
810,Patio Cover Repair and Maintenance,30
811,Patio Services,30
812,Porch, Patio & Canopy Installation,30
813,Pressure Washing,30
814,Astrology Reading,31
815,Au Pair Agencies,31
816,Auctioneers,31
817,Baby Sitting,31
818,Bodyguard Services,31
819,Child Minding,31
820,Counselling,31
821,Domiciliary Nursing Care,31
822,Dry Cleaning & Laundry Services,31
823,Errand Running & Concierge,31
824,Family Counselling,31
825,Financial Advisors,31
826,Genealogy,31
827,Home & Domiciliary Care,31
828,House Sitting,31
829,Identity Theft Restoration,31
830,Insurers,31
831,Investment Advisors,31
832,Life Coaching,31
833,Mediation,31
834,Palm Reading,31
835,Paranormal Investigation,31
836,Personal Chef Services,31
837,Private Investigators,31
838,Psychic and New Age Services,31
839,Psychic Reading & Mediums,31
840,Psychology,31
841,Relationship and Marriage Counselling,31
842,Shoe Repair & Cobbler Services,31
843,Spiritual Counselling,31
844,Tarot Card Reading,31
845,Therapist,31
846,Virtual Personal Assistant,31
847,Wardrobe Consulting,31
848,Wardrobe Organizers,31
849,Audio Production Lessons,32
850,Calligraphy Lessons,32
851,Creative and Performing Arts Instruction,32
852,Crocheting Lessons,32
853,Drawing Classes,32
854,Fabric Arts Lessons,32
855,Fashion and Costume Design Instruction,32
856,Filmmaking Lessons,32
857,Flower Arranging Instruction,32
858,Furniture Design Lessons,32
859,Gardening Lessons,32
860,Glass Art Lessons,32
861,Glass Blowing Lessons,32
862,Graphic Design Instruction,32
863,Jewellery Making Lessons,32
864,Knitting Lessons,32
865,Metalworking Instruction,32
866,Painting Classes,32
867,Photography Classes,32
868,Pottery Classes,32
869,Printmaking Lessons,32
870,Quilting Lessons,32
871,Sculpting Lessons,32
872,Sewing Classes,32
873,Silkscreening Lessons,32
874,Welding Instruction,32
875,Woodworking Instruction,32
876,Auditing Services,33
877,Branded Merchandise,33
878,Debt Recovery & Collection,33
879,Payroll Services,33
880,Recovery and Repossession Services,33
881,Statistical Analysis,33
882,Tax Preparation,33
883,Tax Resolution,33
